変更区分,病名管理番号,病名表記,病名表記カナ,採択区分,病名交換用コード,ICD10-2013-1,ICD10-2013-2,予備1,予備2,レセ電算コード,傷病名省略名称,使用分野,変更履歴番号,変更日付,移行先病名管理番号,単独使用禁止区分,保険請求外区分,予備３,予備４
0,20078748,"腓腹部痛","ヒフクブツウ",1,"KT3G","M7966","","517",,7295061,"腓腹部痛",1,212,20021201,,"00",0,"",""
0,20074209,"皮膚クリプトコッカス症","ヒフクリプトコッカスショウ",1,"EFTU","B452","L998","517",,8839367,"皮膚クリプトコッカス症",1,210,20020601,,"00",0,"",""
0,20074248,"皮膚形成異常","ヒフケイセイイジョウ",2,"QP7P","Q829","","517",,7579007,"皮膚形成異常",1,200,,,"00",0,"",""
0,20074250,"皮膚結核","ヒフケッカク",1,"N80D","A184","","517",,170013,"皮膚結核",1,200,,,"00",0,"",""
0,20074252,"皮膚結節","ヒフケッセツ",2,"UP8Q","R229","","517",,8839368,"皮膚結節",1,210,20020601,,"00",0,"",""
0,20095617,"皮膚結節性多発動脈炎","ヒフケッセツセイタハツドウミャクエン",1,"GC8F","M308","","517",,8846209,"皮膚結節性多発動脈炎",1,292,20110101,,"00",0,"",""
0,20086030,"皮膚欠損創","ヒフケッソンソウ",1,"JV3C","T141","","517",,8842122,"皮膚欠損創",1,215,20030601,,"00",0,"",""
0,20074251,"皮膚結合織ペスト","ヒフケツゴウシキペスト",2,"DSJD","A201","","517",,8839369,"皮膚結合織ペスト",1,212,20021201,,"00",0,"",""
0,20074255,"皮膚限局腫脹","ヒフゲンキョクシュチョウ",2,"GE4R","R229","","517",,8839370,"皮膚限局腫脹",1,210,20020601,,"00",0,"",""
0,20074254,"皮膚原性白内障","ヒフゲンセイハクナイショウ",1,"B7T7","H268","","517",,8839371,"皮膚原性白内障",1,210,20020601,,"00",0,"",""
0,20098073,"皮膚原発性ＣＤ３０陽性Ｔ細胞リンパ増殖性疾患","ヒフゲンパツセイＣＤ３０ヨウセイＴサイボウリンパゾウショクセイシッカン",1,"VP4T","C866","","517",,8847415,"皮膚原発ＣＤ３０陽性Ｔ細胞リンパ増殖疾患",1,306,20121001,,"00",0,"",""
0,20098080,"皮膚原発性γδＴ細胞リンパ腫","ヒフゲンパツセイガンマデルタＴサイボウリンパシュ",1,"HB1C","C848","","517",,8847416,"皮膚原発性γδＴ細胞リンパ腫",1,306,20121001,,"00",0,"",""
0,20098077,"皮膚原発性未分化大細胞リンパ腫","ヒフゲンパツセイミブンカダイサイボウリンパシュ",1,"NL7Q","C866","","517",,8847417,"皮膚原発性未分化大細胞リンパ腫",1,306,20121001,,"00",0,"",""
0,20098370,"皮膚原発びまん性大細胞型Ｂ細胞リンパ腫・下肢型","ヒフゲンパツビマンセイダイサイボウガタＢサイボウリンパシュ・カシガタ",1,"KG01","C833","","517",,8847418,"皮膚原発ＤＬＢＣＬ・下肢型",1,306,20121001,,"00",0,"",""
0,20074256,"皮膚硬結","ヒフコウケツ",2,"TL54","R234","","517",,8839372,"皮膚硬結",1,210,20020601,,"00",0,"",""
0,20074211,"皮膚コクシジオイデス症","ヒフコクシジオイデスショウ",1,"D8JB","B383","L998","517",,8839373,"皮膚コクシジオイデス症",1,400,20170101,,"00",0,"",""
0,20074212,"皮膚サルコイドーシス","ヒフサルコイドーシス",1,"V3AF","D863","","517",,8839374,"皮膚サルコイドーシス",1,210,20020601,,"00",0,"",""
0,20074283,"皮膚弛緩症","ヒフシカンショウ",1,"G6HS","Q828","","517",,7573041,"皮膚弛緩症",1,200,,,"00",0,"",""
0,20074267,"皮膚色素欠乏症","ヒフシキソケツボウショウ",1,"BNVG","L816","","517",,7090106,"皮膚色素欠乏症",1,200,,,"00",0,"",""
0,20074269,"皮膚色素沈着","ヒフシキソチンチャク",1,"GD1P","L819","","517",,7090110,"皮膚色素沈着",1,200,,,"00",0,"",""
0,20074258,"皮膚糸状菌症","ヒフシジョウキンショウ",1,"A1LS","B359","","517",,1109031,"皮膚糸状菌症",1,200,,,"00",0,"",""
0,20074260,"皮膚脂肪肉腫","ヒフシボウニクシュ",1,"R4NC","C449","","517",,8839375,"皮膚脂肪肉腫",1,210,20020601,,"00",0,"",""
0,20074261,"皮膚腫瘍","ヒフシュヨウ",1,"CEV7","D485","","517",,2392125,"皮膚腫瘍",1,200,,,"00",0,"",""
0,20074262,"皮膚腫瘤","ヒフシュリュウ",2,"JMHV","R229","","517",,2392126,"皮膚腫瘤",1,200,,,"00",0,"",""
0,20074264,"皮膚掌紋異常","ヒフショウモンイジョウ",2,"QC0N","Q828","","517",,7572002,"皮膚掌紋異常",1,200,,,"00",0,"",""
0,20074265,"皮膚色異常","ヒフショクイジョウ",2,"KPEV","L819","","517",,7090104,"皮膚色異常",1,200,,,"00",0,"",""
0,20074270,"皮膚真菌症","ヒフシンキンショウ",1,"RE7C","B369","","517",,1119013,"皮膚真菌症",1,200,,,"00",0,"",""
0,20074213,"皮膚ジフテリア","ヒフジフテリア",1,"P66D","A363","","517",,328001,"皮膚ジフテリア",1,200,,,"00",0,"",""
0,20079603,"皮膚上皮内癌","ヒフジョウヒナイガン",2,"A33L","D049","","517",,8839376,"皮膚上皮内癌",1,210,20020601,,"00",0,"",""
0,20074272,"皮膚石灰沈着症","ヒフセッカイチンチャクショウ",1,"VL6F","L942","","517",,7093002,"皮膚石灰沈着症",1,200,,,"00",0,"",""
0,20074273,"皮膚線維腫","ヒフセンイシュ",1,"RCF1","D239","","517",,2169039,"皮膚線維腫",1,200,,,"00",0,"",""
0,20074275,"皮膚腺病","ヒフセンビョウ",1,"V4LE","A184","","517",,170014,"皮膚腺病",1,241,20051001,,"00",0,"",""
0,20107268,"皮膚脆弱型エーラス・ダンロス症候群","ヒフゼイジャクガタエーラス・ダンロスショウコウグン",1,"B3GG","Q796","","517",,8851477,"皮膚脆弱型エーラス・ダンロス症候群",1,513,20240101,,"00",0,"",""
0,20084270,"皮膚そう痒症","ヒフソウヨウショウ",1,"AEDB","L299","","517",,8841388,"皮膚そう痒症",1,210,20020601,,"00",0,"",""
0,20074278,"皮膚損傷","ヒフソンショウ",2,"SL66","T140","","517",,9599028,"皮膚損傷",1,200,,,"00",0,"",""
0,20074224,"皮膚粟粒結核","ヒフゾクリュウケッカク",1,"C8DL","A199","","517",,189005,"皮膚粟粒結核",1,200,,,"00",0,"",""
0,20074280,"皮膚炭疽","ヒフタンソ",1,"NFVJ","A220","","517",,220003,"皮膚炭疽",1,200,,,"00",0,"",""
0,20074281,"皮膚知覚過敏","ヒフチカクカビン",1,"CERB","R203","","517",,8839378,"皮膚知覚過敏",1,210,20020601,,"00",0,"",""
0,20074282,"皮膚知覚障害","ヒフチカクショウガイ",1,"H69J","R208","","517",,7820047,"皮膚知覚障害",1,200,,,"00",0,"",""
0,20074367,"非フッ素化合物性エナメル斑","ヒフッソカゴウブツセイエナメルハン",2,"AL7E","K003","","517",,8839379,"非フッ素化合物性エナメル斑",4,240,20050601,,"00",0,"",""
0,20074312,"皮膚疼痛症","ヒフトウツウショウ",1,"ATA5","R529","","517",,7299016,"皮膚疼痛症",1,200,,,"00",0,"",""
0,20087617,"皮膚洞","ヒフドウ",1,"VGNF","Q059","","517",,8842842,"皮膚洞",1,242,20060101,,"00",0,"",""
0,20102647,"皮膚動脈炎","ヒフドウミャクエン",3,"GC8F","M308","","517",,8849445,"皮膚動脈炎",1,403,20180101,,"00",0,"",""
0,20101506,"皮膚肉芽腫","ヒフニクゲシュ",1,"KMBM","L929","","517",,8848784,"皮膚肉芽腫",1,319,20160101,,"00",0,"",""
0,20079618,"皮膚乳頭腫","ヒフニュウトウシュ",1,"T2BB","D239","","517",,8839380,"皮膚乳頭腫",1,210,20020601,,"00",0,"",""
0,20074288,"皮膚粘膜リーシュマニア症","ヒフネンマクリーシュマニアショウ",1,"V5C4","B552","","517",,8839381,"皮膚粘膜リーシュマニア症",1,210,20020601,,"00",0,"",""
0,20074291,"皮膚膿瘍","ヒフノウヨウ",1,"SF1B","L029","","517",,6829029,"皮膚膿瘍",1,200,,,"00",0,"",""
0,20074214,"皮膚ノカルジア症","ヒフノカルジアショウ",1,"T13A","A431","","517",,8839382,"皮膚ノカルジア症",1,210,20020601,,"00",0,"",""
0,20074197,"皮膚の血管炎","ヒフノケッカンエン",2,"ECH8","L959","","517",,8839383,"皮膚の血管炎",1,210,20020601,,"00",0,"",""
0,20074199,"皮膚の肥厚性障害","ヒフノヒコウセイショウガイ",2,"UMUL","L919","","517",,8839384,"皮膚の肥厚性障害",1,210,20020601,,"00",0,"",""
0,20084298,"皮膚はえ幼虫症","ヒフハエヨウチュウショウ",1,"KMF2","B870","L998","517",,8841389,"皮膚はえ幼虫症",1,210,20020601,,"00",0,"",""
0,20074292,"皮膚剥脱創","ヒフハクダツソウ",1,"F8TP","T141","","517",,8798044,"皮膚剥脱創",1,210,20020601,,"00",0,"",""
0,20105736,"皮膚白血球破砕性血管炎","ヒフハッケッキュウハサイセイケッカンエン",1,"TFPJ","M310","","517",,8851019,"皮膚白血球破砕性血管炎",1,510,20220601,,"00",0,"",""
0,20085766,"皮膚白血病","ヒフハッケツビョウ",1,"RVS1","C792","","517",,8842031,"皮膚白血病",1,212,20021201,,"00",0,"",""
0,20107882,"皮膚瘢痕内の子宮内膜症","ヒフハンコンナイノシキュウナイマクショウ",1,"SKJ8","N806","","517",,8851685,"皮膚瘢痕内の子宮内膜症",1,515,20250101,,"00",0,"",""
0,20089022,"皮膚非結核性抗酸菌症","ヒフヒケッカクセイコウサンキンショウ",1,"D3JJ","A311","","517",,8843770,"皮膚非結核性抗酸菌症",1,253,20070101,,"00",0,"",""
0,20074200,"皮膚びらん","ヒフビラン",2,"H3JJ","L984","","517",,7079016,"皮膚びらん",1,200,,,"00",0,"",""
0,20074297,"皮膚付属器癌","ヒフフゾクキガン",2,"H37N","C449","","517",,1739011,"皮膚付属器癌",1,200,,,"00",0,"",""
0,20074298,"皮膚付属器腫瘍","ヒフフゾクキシュヨウ",2,"GVRS","D485","","517",,2169041,"皮膚付属器腫瘍",1,200,,,"00",0,"",""
0,20080801,"皮膚フランベジア","ヒフフランベジア",2,"BMN1","A662","","517",,1022001,"皮膚フランベジア",1,210,20020601,,"00",0,"",""
0,20074300,"皮膚糞線虫症","ヒフフンセンチュウショウ",2,"BM19","B781","L998","517",,8839388,"皮膚糞線虫症",1,210,20020601,,"00",0,"",""
0,20074217,"皮膚ブラストミセス症","ヒフブラストミセスショウ",1,"LM89","B403","L998","517",,8839389,"皮膚ブラストミセス症",1,210,20020601,,"00",0,"",""
0,20074301,"皮膚平滑筋腫","ヒフヘイカツキンシュ",1,"THQ8","D239","","517",,2169042,"皮膚平滑筋腫",1,200,,,"00",0,"",""
0,20074302,"皮膚放線菌症","ヒフホウセンキンショウ",2,"TAV3","A428","","517",,390003,"皮膚放線菌症",1,200,,,"00",0,"",""
0,20107552,"皮膚未分化多形肉腫","ヒフミブンカタケイニクシュ",1,"PG4J","C449","","517",,8851568,"皮膚未分化多形肉腫",1,514,20240601,,"00",0,"",""
0,20074219,"皮膚ムコール症","ヒフムコールショウ",1,"P7CG","B463","L998","517",,8839391,"皮膚ムコール症",1,210,20020601,,"00",0,"",""
0,20074311,"皮膚疣状結核","ヒフユウジョウケッカク",1,"DACB","A184","","517",,170015,"皮膚疣状結核",1,263,20080301,,"00",0,"",""
0,20074304,"皮膚幼線虫移行症","ヒフヨウセンチュウイコウショウ",1,"TUHT","B769","","517",,8839392,"皮膚幼線虫移行症",1,210,20020601,,"00",0,"",""
0,20074305,"皮膚落屑","ヒフラクセツ",2,"Q819","R234","","517",,8839393,"皮膚落屑",1,210,20020601,,"00",0,"",""
0,20074220,"皮膚リーシュマニア症","ヒフリーシュマニアショウ",1,"E0V4","B551","","517",,8839394,"皮膚リーシュマニア症",1,210,20020601,,"00",0,"",""
0,20074221,"皮膚リステリア症","ヒフリステリアショウ",1,"BFBE","A320","","517",,8839395,"皮膚リステリア症",1,210,20020601,,"00",0,"",""
0,20074307,"皮膚良性腫瘍","ヒフリョウセイシュヨウ",2,"MPTD","D239","","517",,2169044,"皮膚良性腫瘍",1,200,,,"00",0,"",""
0,20074306,"皮膚良性リンパ腺腫症","ヒフリョウセイリンパセンシュショウ",1,"NT31","D360","","517",,2290010,"皮膚良性リンパ腺腫症",1,200,,,"01",0,"",""
0,20074308,"皮膚類丹毒","ヒフルイタンドク",1,"A34B","A260","","517",,8839396,"皮膚類丹毒",1,210,20020601,,"00",0,"",""
0,20074313,"皮膚瘻","ヒフロウ",2,"VUL4","L988","","517",,6869046,"皮膚瘻",1,200,,,"00",0,"",""
0,20074537,"飛蚊症","ヒブンショウ",1,"M99M","H438","","517",,3792017,"飛蚊症",1,200,,,"00",0,"",""
0,20097980,"非分泌型骨髄腫","ヒブンピガタコツズイシュ",1,"HLHT","C900","","517",,8847250,"非分泌型骨髄腫",1,305,20120601,,"00",0,"",""
0,20074529,"非閉塞性耳硬化症","ヒヘイソクセイジコウカショウ",2,"DQ28","H800","","517",,8839399,"非閉塞性耳硬化症",1,210,20020601,,"00",0,"",""
0,20095870,"非閉塞性腸間膜虚血","ヒヘイソクセイチョウカンマクキョケツ",1,"AN3J","K550","","517",,8846332,"非閉塞性腸間膜虚血",1,293,20110301,,"00",0,"",""
