field_name,source_table_name,source_field_name,source_code,source_code_description,source_vocabulary_id,source_domain_id,reccount,stcm,std_mapped,rn,source_concept_id,source_concept_name,source_concept_vocabulary_id,source_concept_domain_id,source_concept_class_id,target_concept_id,target_concept_name,target_concept_vocabulary_id,target_concept_domain_id,target_concept_class_id,target_standard_concept,target_valid_start_date,target_valid_end_date,target_invalid_reason
drug_source_value,InjectionData,inj_medicine_cd_yj,6112401G2029,6112401G2029|118227901|ｸﾘﾝﾀﾞﾏｲｼﾝ注600mgｼﾘﾝｼﾞ 「ﾀｲﾖｰ」,RINCHU_DRUG,Drug,1342,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35151314,Clindamycin 600 MG Injectable Solution,RxNorm Extension,Drug,Clinical Drug,S,2019-03-11,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,6131400D3100,6131400D3100|110772201|ビクシリン注射用 1g/V,RINCHU_DRUG,Drug,1332,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35605342,ampicillin 1000 MG Injection,RxNorm,Drug,Clinical Drug,S,2016-05-02,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3319407A1025,3319407A1025|120466701|ﾘﾝ酸Na補正液(0.5mmol/mL)　20mL/A,RINCHU_DRUG,Drug,1309,Y,Y,1,0,No matching concept,None,Metadata,Undefined,2935050,"Disodium phosphate dihydrate / sodium phosphate, dibasic Injection",RxNorm Extension,Drug,Clinical Drug Form,S,2021-06-30,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,6250401A1077,6250401A1077|1138436030102|アシクロビル点滴静注液２５０ｍｇ「トーワ」,RINCHU_DRUG,Drug,1302,Y,U,1,0,No matching concept,None,Metadata,Undefined,0,No matching concept,None,Metadata,Undefined,,1970-01-01,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,6391700X3020,6391700X3020|116272101|イムノブラダー膀注用40mg（溶解液付）,RINCHU_DRUG,Drug,1220,Y,U,1,0,No matching concept,None,Metadata,Undefined,0,No matching concept,None,Metadata,Undefined,,1970-01-01,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,2499401A2050,2499401A2050|105537501|プロスタルモンＦ注1mg/1mL,RINCHU_DRUG,Drug,1215,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35144059,Dinoprost 1 MG/ML Injectable Solution,RxNorm Extension,Drug,Clinical Drug,S,2019-03-11,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,2234400A1062,2234400A1062|103888002|ビソルボン注（4mg/2mL）,RINCHU_DRUG,Drug,1145,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35856111,bromhexine 4 MG Injectable Solution,RxNorm Extension,Drug,Clinical Drug,S,2020-10-02,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,6343428A8020,6343428A8020|125346701|(患者限定)10％ヴェノグロブリンＩＨ5g/50mL,RINCHU_DRUG,Drug,1131,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35144221,polyethylene glycol-treated human normal immunoglobulin Injectable Solution,RxNorm Extension,Drug,Clinical Drug Form,S,2019-03-11,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3136402A3190,3136402A3190|107113913|シアノコバラミン注射液1mg「日医工」 【VB12】,RINCHU_DRUG,Drug,1130,Y,U,1,0,No matching concept,None,Metadata,Undefined,0,No matching concept,None,Metadata,Undefined,,1970-01-01,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,2391405D1020,2391405D1020|121228001|プロイメンド点滴静注用150mg,RINCHU_DRUG,Drug,1104,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35605599,fosaprepitant 150 MG Injection,RxNorm,Drug,Clinical Drug,S,2016-05-02,2099-12-31,
