source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
20050365,45755298,MEDIS_DIAGKNR_S,A09.9|Ｓ状結腸炎,4043371,SNOMED,2009-01-01,2099-12-31,
20050366,45533597,MEDIS_DIAGKNR_S,K45.8|Ｓ状結腸間膜窩ヘルニア,199860,SNOMED,1990-05-01,2099-12-31,
20050367,45571491,MEDIS_DIAGKNR_S,C18.7|Ｓ状結腸癌,436635,SNOMED,1990-05-01,2099-12-31,
20050369,45567316,MEDIS_DIAGKNR_S,K57.3|Ｓ状結腸憩室,4164898,SNOMED,1990-05-01,2099-12-31,
20050370,45532818,MEDIS_DIAGKNR_S,A18.3|Ｓ状結腸結核,196019,SNOMED,1990-05-01,2099-12-31,
20050371,45533608,MEDIS_DIAGKNR_S,K56.2|Ｓ状結腸軸捻転,197603,SNOMED,1990-05-01,2099-12-31,
20050372,45552347,MEDIS_DIAGKNR_S,D37.4|Ｓ状結腸腫瘍,4317409,SNOMED,1990-05-01,2099-12-31,
20050373,45582651,MEDIS_DIAGKNR_S,Q43.9|Ｓ状結腸先天異常,4130372,SNOMED,1990-05-01,2099-12-31,
20050374,45576998,MEDIS_DIAGKNR_S,K63.1|Ｓ状結腸穿孔,193242,SNOMED,1990-05-01,2099-12-31,
20050375,45543330,MEDIS_DIAGKNR_S,K63.3|Ｓ状結腸潰瘍,195002,SNOMED,1990-05-01,2099-12-31,
20050377,45552347,MEDIS_DIAGKNR_S,D37.4|Ｓ状結腸粘膜下腫瘍,4317409,SNOMED,1990-05-01,2099-12-31,
20050378,45567318,MEDIS_DIAGKNR_S,K63.2|Ｓ状結腸瘻,196160,SNOMED,1990-05-01,2099-12-31,
20050379,45582661,MEDIS_DIAGKNR_S,Q63.1|Ｓ状腎,195363,SNOMED,1990-05-01,2099-12-31,
20050382,45568096,MEDIS_DIAGKNR_S,Q87.2|ＴＡＲ症候群,4190397,SNOMED,1990-05-01,2099-12-31,
20050384,45547616,MEDIS_DIAGKNR_S,E07.8|ＴＢＧ異常症,141253,SNOMED,1990-05-01,2099-12-31,
20050385,45547616,MEDIS_DIAGKNR_S,E07.8|ＴＢＧ欠損症,141253,SNOMED,1990-05-01,2099-12-31,
20050386,45547616,MEDIS_DIAGKNR_S,E07.8|ＴＢＧ増多症,141253,SNOMED,1990-05-01,2099-12-31,
20050387,45547616,MEDIS_DIAGKNR_S,E07.8|ＴＢＧ低下症,141253,SNOMED,1990-05-01,2099-12-31,
20050392,45581304,MEDIS_DIAGKNR_S,D35.2|ＴＳＨ産生下垂体腺腫,4242816,SNOMED,1990-05-01,2099-12-31,
20050394,45561963,MEDIS_DIAGKNR_S,E23.0|ＴＳＨ単独欠損症,4254542,SNOMED,1990-05-01,2099-12-31,
20050395,45600405,MEDIS_DIAGKNR_S,A30.1|ＴＴ型ハンセン病,136898,SNOMED,1990-05-01,2099-12-31,
20050398,45571560,MEDIS_DIAGKNR_S,C84.4|Ｔゾーンリンパ腫,434881,SNOMED,1990-05-01,2099-12-31,
20050399,45568096,MEDIS_DIAGKNR_S,Q87.2|ＶＡＴＥＲ連合症候群,4190397,SNOMED,1990-05-01,2099-12-31,
20050403,45591385,MEDIS_DIAGKNR_S,H50.1|Ｖ型外斜視,4163410,SNOMED,1990-05-01,2099-12-31,
20050404,45586698,MEDIS_DIAGKNR_S,K07.3|Ｖ型歯列弓,433243,SNOMED,1990-05-01,2099-12-31,
20050405,45543178,MEDIS_DIAGKNR_S,I45.6|ＷＰＷ症候群,4057008,SNOMED,1990-05-01,2099-12-31,
20050408,45577773,MEDIS_DIAGKNR_S,Q96.9|ＸＯ症候群,4307885,SNOMED,1990-05-01,2099-12-31,
20050410,45601998,MEDIS_DIAGKNR_S,Q97.1|ＸＸＸＸＸ症候群,4114978,SNOMED,1990-05-01,2099-12-31,
20050411,45558445,MEDIS_DIAGKNR_S,Q98.1|ＸＸＸＸＹ症候群,40420291,SNOMED,1990-05-01,2099-12-31,
20050412,45601998,MEDIS_DIAGKNR_S,Q97.1|ＸＸＸＸ症候群,4114978,SNOMED,1990-05-01,2099-12-31,
20050413,45573003,MEDIS_DIAGKNR_S,Q97.0|ＸＸＸ症候群,4148557,SNOMED,1990-05-01,2099-12-31,
20050414,45544128,MEDIS_DIAGKNR_S,Q98.0|ＸＸＹ症候群,4228490,SNOMED,1990-05-01,2099-12-31,
20050421,45548133,MEDIS_DIAGKNR_S,K01.0|ｅｍｂｅｄｄｅｄ埋伏歯,4024688,SNOMED,1990-05-01,2099-12-31,
20050425,45568123,MEDIS_DIAGKNR_S,R23.2|あから顔,318566,SNOMED,1990-05-01,2099-12-31,
