source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
Q41.0c,45548902,ATHENA_ICD10,"Congenital absence, atresia and stenosis of duodenum",197084,SNOMED,2002-01-31,2099-12-31,
Q41.1b,45558407,ATHENA_ICD10,"Congenital absence, atresia and stenosis of jejunum",197084,SNOMED,2002-01-31,2099-12-31,
Q41.1c,45558407,ATHENA_ICD10,"Congenital absence, atresia and stenosis of jejunum",197084,SNOMED,2002-01-31,2099-12-31,
Q41.2b,45539276,ATHENA_ICD10,"Congenital absence, atresia and stenosis of ileum",197084,SNOMED,2002-01-31,2099-12-31,
Q41.2c,45539276,ATHENA_ICD10,"Congenital absence, atresia and stenosis of ileum",197084,SNOMED,2002-01-31,2099-12-31,
Q41.9b,45597127,ATHENA_ICD10,"Congenital absence, atresia and stenosis of small intestine, part unspecified",197084,SNOMED,2002-01-31,2099-12-31,
Q41.9c,45597127,ATHENA_ICD10,"Congenital absence, atresia and stenosis of small intestine, part unspecified",197084,SNOMED,2002-01-31,2099-12-31,
Q42.1b,45548904,ATHENA_ICD10,"Congenital absence, atresia and stenosis of rectum without fistula",4314399,SNOMED,2002-01-31,2099-12-31,
Q42.1c,45548904,ATHENA_ICD10,"Congenital absence, atresia and stenosis of rectum without fistula",4314399,SNOMED,2002-01-31,2099-12-31,
Q42.3b,45587459,ATHENA_ICD10,"Congenital absence, atresia and stenosis of anus without fistula",4008737,SNOMED,2002-01-31,2099-12-31,
Q42.3c,45587459,ATHENA_ICD10,"Congenital absence, atresia and stenosis of anus without fistula",4008737,SNOMED,2002-01-31,2099-12-31,
Q42.9b,45539277,ATHENA_ICD10,"Congenital absence, atresia and stenosis of large intestine, part unspecified",4032939,SNOMED,2002-01-31,2099-12-31,
Q42.9c,45539277,ATHENA_ICD10,"Congenital absence, atresia and stenosis of large intestine, part unspecified",4032939,SNOMED,2002-01-31,2099-12-31,
Q43.3a,45597128,ATHENA_ICD10,Congenital malformations of intestinal fixation,200837,SNOMED,2002-01-31,2099-12-31,
Q43.3b,45597128,ATHENA_ICD10,Congenital malformations of intestinal fixation,200837,SNOMED,2002-01-31,2099-12-31,
