source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
A1EU,45566620,MEDIS_DIAGEXC_S,C80.9|混合性胚細胞腫瘍,432851,SNOMED,2010-01-01,2099-12-31,
A1FF,45553017,MEDIS_DIAGEXC_S,L98.5|粘液水腫性苔癬,4033501,SNOMED,1990-05-01,2099-12-31,
A1FQ,45586094,MEDIS_DIAGEXC_S,D23.6|肘部皮膚良性腫瘍,4243587,SNOMED,1990-05-01,2099-12-31,
A1HA,45538217,MEDIS_DIAGEXC_S,H16.2|結節性結膜炎,380397,SNOMED,1990-05-01,2099-12-31,
A1JG,1529328,MEDIS_DIAGEXC_S,S72.01|股関節開放骨折,436248,SNOMED,2021-04-06,2099-12-31,
A1KD,45538421,MEDIS_DIAGEXC_S,I70.20|下肢閉塞性動脈硬化症,315558,SNOMED,1990-05-01,2099-12-31,
A1L3,45601989,MEDIS_DIAGEXC_S,Q82.8|インドゴム様皮膚,132446,SNOMED,1990-05-01,2099-12-31,
A1LE,45593843,MEDIS_DIAGEXC_S,S76.3|大腿二頭筋筋肉内血腫,4056717,SNOMED,1990-05-01,2099-12-31,
A1LS,45561754,MEDIS_DIAGEXC_S,B35.9|皮膚糸状菌症,135473,SNOMED,1990-05-01,2099-12-31,
A1MV,45561896,MEDIS_DIAGEXC_S,D16.4|前頭洞骨腫,434885,SNOMED,1990-05-01,2099-12-31,
A1P9,45543943,MEDIS_DIAGEXC_S,O30.9|多胎妊娠,432969,SNOMED,1990-05-01,2099-12-31,
A1Q3,45600592,MEDIS_DIAGEXC_S,D36.1|神経腫,373432,SNOMED,1990-05-01,2099-12-31,
A1R3,45544101,MEDIS_DIAGEXC_S,Q56.1|１７β−ヒドロキシステロイド脱水素酵素欠損症,4009631,SNOMED,1990-05-01,2099-12-31,
A1RM,45572724,MEDIS_DIAGEXC_S,N80.6|帝王切開後子宮内膜症,139882,SNOMED,1990-05-01,2099-12-31,
A1SM,45547410,MEDIS_DIAGEXC_S,A50.0|早期先天梅毒性咽頭炎,434570,SNOMED,1990-05-01,2099-12-31,
A1SM,45538492,MEDIS_DIAGEXC_S,J99.8|早期先天梅毒性咽頭炎,320136,SNOMED,1990-05-01,2099-12-31,
A1TT,45587427,MEDIS_DIAGEXC_S,P60|胎児ＤＩＣ,432443,SNOMED,1990-05-01,2099-12-31,
A1UA,1529272,MEDIS_DIAGEXC_S,S72.00|大腿骨頚部内側骨折,434500,SNOMED,2021-04-06,2099-12-31,
A1VM,45533633,MEDIS_DIAGEXC_S,L10.4|紅斑性天疱瘡,4279526,SNOMED,1990-05-01,2099-12-31,
A20A,42618582,MEDIS_DIAGEXC_S,M80.82|老年性骨粗鬆症・上腕病的骨折あり,45767042,SNOMED,2016-12-01,2099-12-31,
A22A,42618799,MEDIS_DIAGEXC_S,M84.08|眼窩変形治癒骨折,75634,SNOMED,2016-12-01,2099-12-31,
A24S,45600461,MEDIS_DIAGEXC_S,B49|肺真菌症,433701,SNOMED,1990-05-01,2099-12-31,
A24S,45538492,MEDIS_DIAGEXC_S,J99.8|肺真菌症,320136,SNOMED,1990-05-01,2099-12-31,
